[2025-05-24 13:27:55,896] INFO in error_handlers: Application startup
[2025-05-24 13:27:56,564] INFO in error_handlers: Application startup
[2025-05-24 13:27:56,597] INFO in error_handlers: Application startup
[2025-05-24 13:27:56,597] INFO in error_handlers: Application startup
[2025-05-24 13:28:12,301] INFO in error_handlers: Application startup
[2025-05-24 13:28:12,923] INFO in error_handlers: Application startup
[2025-05-24 13:28:12,951] INFO in error_handlers: Application startup
[2025-05-24 13:28:12,951] INFO in error_handlers: Application startup
[2025-05-24 13:28:48,827] INFO in error_handlers: Application startup
[2025-05-24 13:28:49,591] INFO in error_handlers: Application startup
[2025-05-24 13:28:49,625] INFO in error_handlers: Application startup
[2025-05-24 13:28:49,625] INFO in error_handlers: Application startup
[2025-05-24 13:28:55,871] INFO in error_handlers: Application startup
[2025-05-24 13:28:56,575] INFO in error_handlers: Application startup
[2025-05-24 13:28:56,612] INFO in error_handlers: Application startup
[2025-05-24 13:28:56,612] INFO in error_handlers: Application startup
[2025-05-24 13:29:18,292] INFO in error_handlers: Application startup
[2025-05-24 13:29:18,949] INFO in error_handlers: Application startup
[2025-05-24 13:29:18,979] INFO in error_handlers: Application startup
[2025-05-24 13:29:18,979] INFO in error_handlers: Application startup
[2025-05-24 13:32:35,981] INFO in error_handlers: Application startup
[2025-05-24 13:32:36,833] INFO in error_handlers: Application startup
[2025-05-24 13:32:36,862] INFO in error_handlers: Application startup
[2025-05-24 13:32:36,862] INFO in error_handlers: Application startup
[2025-05-24 13:34:17,570] INFO in error_handlers: Application startup
[2025-05-24 13:34:18,483] INFO in error_handlers: Application startup
[2025-05-24 13:34:18,514] INFO in error_handlers: Application startup
[2025-05-24 13:34:18,514] INFO in error_handlers: Application startup
[2025-05-24 13:34:20,435] INFO in base: select pg_catalog.version()
[2025-05-24 13:34:20,435] INFO in base: select pg_catalog.version()
[2025-05-24 13:34:20,435] INFO in base: [raw sql] ()
[2025-05-24 13:34:20,435] INFO in base: [raw sql] ()
[2025-05-24 13:34:20,917] INFO in base: select current_schema()
[2025-05-24 13:34:20,917] INFO in base: select current_schema()
[2025-05-24 13:34:20,918] INFO in base: [raw sql] ()
[2025-05-24 13:34:20,918] INFO in base: [raw sql] ()
[2025-05-24 13:34:21,487] INFO in base: show standard_conforming_strings
[2025-05-24 13:34:21,487] INFO in base: show standard_conforming_strings
[2025-05-24 13:34:21,488] INFO in base: [raw sql] ()
[2025-05-24 13:34:21,488] INFO in base: [raw sql] ()
[2025-05-24 13:34:21,846] INFO in base: BEGIN (implicit)
[2025-05-24 13:34:21,846] INFO in base: BEGIN (implicit)
[2025-05-24 13:34:21,847] INFO in base: COMMIT
[2025-05-24 13:34:21,847] INFO in base: COMMIT
[2025-05-24 13:36:24,948] INFO in error_handlers: Application startup
[2025-05-24 13:36:25,865] INFO in error_handlers: Application startup
[2025-05-24 13:36:25,899] INFO in error_handlers: Application startup
[2025-05-24 13:36:25,899] INFO in error_handlers: Application startup
[2025-05-24 13:36:27,300] INFO in base: select pg_catalog.version()
[2025-05-24 13:36:27,300] INFO in base: select pg_catalog.version()
[2025-05-24 13:36:27,300] INFO in base: [raw sql] ()
[2025-05-24 13:36:27,300] INFO in base: [raw sql] ()
[2025-05-24 13:36:27,798] INFO in base: select current_schema()
[2025-05-24 13:36:27,798] INFO in base: select current_schema()
[2025-05-24 13:36:27,799] INFO in base: [raw sql] ()
[2025-05-24 13:36:27,799] INFO in base: [raw sql] ()
[2025-05-24 13:36:28,307] INFO in base: show standard_conforming_strings
[2025-05-24 13:36:28,307] INFO in base: show standard_conforming_strings
[2025-05-24 13:36:28,308] INFO in base: [raw sql] ()
[2025-05-24 13:36:28,308] INFO in base: [raw sql] ()
[2025-05-24 13:36:28,678] INFO in base: BEGIN (implicit)
[2025-05-24 13:36:28,678] INFO in base: BEGIN (implicit)
[2025-05-24 13:36:28,678] INFO in base: COMMIT
[2025-05-24 13:36:28,678] INFO in base: COMMIT
[2025-05-24 13:40:28,208] INFO in error_handlers: Application startup
[2025-05-24 13:40:29,117] INFO in error_handlers: Application startup
[2025-05-24 13:40:29,147] INFO in error_handlers: Application startup
[2025-05-24 13:40:29,147] INFO in error_handlers: Application startup
[2025-05-24 13:40:30,661] INFO in base: select pg_catalog.version()
[2025-05-24 13:40:30,661] INFO in base: select pg_catalog.version()
[2025-05-24 13:40:30,661] INFO in base: [raw sql] ()
[2025-05-24 13:40:30,661] INFO in base: [raw sql] ()
[2025-05-24 13:40:31,160] INFO in base: select current_schema()
[2025-05-24 13:40:31,160] INFO in base: select current_schema()
[2025-05-24 13:40:31,161] INFO in base: [raw sql] ()
[2025-05-24 13:40:31,161] INFO in base: [raw sql] ()
[2025-05-24 13:40:31,666] INFO in base: show standard_conforming_strings
[2025-05-24 13:40:31,666] INFO in base: show standard_conforming_strings
[2025-05-24 13:40:31,667] INFO in base: [raw sql] ()
[2025-05-24 13:40:31,667] INFO in base: [raw sql] ()
[2025-05-24 13:40:32,071] INFO in base: BEGIN (implicit)
[2025-05-24 13:40:32,071] INFO in base: BEGIN (implicit)
[2025-05-24 13:40:32,072] INFO in base: COMMIT
[2025-05-24 13:40:32,072] INFO in base: COMMIT
[2025-05-24 13:52:05,934] INFO in error_handlers: Application startup
[2025-05-24 13:52:06,663] INFO in error_handlers: Application startup
[2025-05-24 13:52:06,687] INFO in error_handlers: Application startup
[2025-05-24 13:52:06,687] INFO in error_handlers: Application startup
[2025-05-24 13:52:08,524] INFO in base: select pg_catalog.version()
[2025-05-24 13:52:08,524] INFO in base: select pg_catalog.version()
[2025-05-24 13:52:08,525] INFO in base: [raw sql] ()
[2025-05-24 13:52:08,525] INFO in base: [raw sql] ()
